surname,g1,g2,dob,sex,age_group,cause_of_absence,Num_missing,age_first,age_last,missing_period,missing_per_year,clothes,coat_color1,coat_type,date_last_seen,date_located,dress_type,hand,hat_type,hat_color1,jewelry_type,missing_before,place_last_seen,pants_type,place_located,previously_found,shoes_type,shirt_type,skirt_type,young_offender,cyber_crime_type,demage_total,detail_count,district,down_time,durg_alcohol,drugs_total,family_violence,follow_up_count,founded,fraud_type,gang_involvement,gang_type,hate_crime_ind,how_method,location,location_code,loss_total,object_of_theft1,object_of_theft2,object_of_theft3,object_of_theft4,object_of_theft5,occ_date,occ_name,occ_time,occupancy_code,person_count,person_target,place_name,recovered_total,unident_count,vehicle_count,vehicle_target,vehicle_type,viclas_flag,violation_count,weapon_status,weapon_type,week_day,x_coordinate,y_coordinate,zone,caution,citizenship,build,complexion,country_of_birth,disability,drivers_license,employer,eye_color,facial_hair,facial_hair_color,gang_name,hair_color,hair_style,height,language,marital_status,occupation,race,weight
Hammett,41065,40088,"September 11th, 2017",0,1,59426034,46,6,14,45,26,51191,96597,18457,"December 18th, 2016","July 31st, 2016",92375,25209,26371,84640,14386,1,27339,SCMNL,SCYPC,TFZKB,DGKEH,JYCAU,CNPUQ,SMOXL,IHNLM,EZQKI,QTGZR,DOVTO,BDCFY,EZMNJ,OLJZS,SEDJB,2,UXCJF,JWJGI,QJQUK,EJSSJ,CTBUM,STNAE,SNLBT,VIGGU,CUGUE,NABMY,SIMUA,ERESQ,URCWL,YGGOE,MKPZG,MNXBB,HRROL,RWEFS,OAULE,QNZHC,ZZCFG,CZBXU,XVKUV,HBRBL,LOMJD,ZREMA,FQKQT,WAHUZ,WULVH,HBFJG,JONIE,QQBCZ,QBOTH,KKXLD,DVKNX,PDJHM,MBAHU,DVMDL,ADGZH,NCXLL,LSAUG,NUAYC,PFINS,YDJQX,GPGTM,test,VVNMI,VWMLN,832,RAOMN,VZFUP,GCIBJ,VPPUF,FLQJK
Bree,85747,83824,"October 18th, 2015",0,10,45960069,27,3,19,21,40,44073,80382,43137,"June 28th, 2017","September 17th, 2016",02016,18091,45855,30701,44325,2,40842,CZPOT,ECMCC,ZMCWZ,VIGZI,HIFTN,WMUAI,WRPHG,UAFYD,FZOSR,PCVRR,CFBIL,QZWZZ,AAOXO,RTBWE,LEKVD,3,AZNRZ,VHMON,EBLIT,WPVET,BTXBW,DAHYK,RCPSS,EATCK,NCQGO,DBAAP,UGMPL,ARNOD,YWFEQ,XPLRB,PTMJE,OYNLY,KIPWQ,EOUXJ,VFVJA,NFJJU,CTRWB,HNHSV,BZDUI,PBOTD,QRSYM,VEGFW,FWMUF,LTBSA,RPESB,SAUQN,SMMEV,NUSBG,HHNGC,SHMPL,XNUNJ,WFKPL,JJILK,TEDWF,TDYWM,TUGNK,LLGWZ,QJKJK,PMMGG,HDUEJ,GFTIM,test,ZXDWG,AABVY,891,WOKSC,CKHBX,TBGAL,EEHMN,LEGKF
Matthew,21883,15722,"June 21st, 2016",1,10,86197180,11,2,13,15,44,63777,76849,65464,"April 7th, 2017","June 7th, 2018",83362,04603,45112,61151,33931,2,54905,QWBCJ,WHDTF,DPRTI,HKQLF,ICWNE,JAOJZ,RWIZQ,SXTHS,EGPDW,ZAMNZ,PSTZO,HQMDW,ORVBL,BZQMO,SZFEN,4,JBDMU,MXGUO,OAXNB,PIKSN,MEEYB,PIUBZ,BJCVT,MNMSF,LYZGQ,YTUXT,LCEMK,TFLSR,MBAMB,HPEEH,FADTG,HLEOK,DYOSF,EOSCW,QLYXX,CLTAX,RIGDN,NNKBQ,DMCKQ,DFQVV,BVKJS,ZIGHI,MQEMC,YLEXE,KDWMA,VFTYA,HRKDT,VXDIL,MJRTS,TZYOR,NXZNZ,SAIYF,EJFQC,YEIDU,IKCAV,UCQEK,BQDQA,FHJII,VMADH,BNZLW,YLZZC,test,JRXJV,LPRPJ,750,WEJTU,EOOLV,AORFA,XZWEY,ACOLD
Hakeem,02626,93951,"September 10th, 2015",1,0,92939744,3,9,19,45,28,55991,51377,91780,"June 13th, 2019","February 20th, 2017",20951,73106,67161,67175,35667,8,44676,WDPQR,KVWFP,LSSHT,MHRNU,TPVUP,GTQSY,KNBEB,QTCIN,DHEIP,AJOXD,IBUED,XTVNQ,MMOEE,LIQRT,FVGCF,4,GCTZP,CUYJO,GQWXF,KLPVU,NXLVV,UCDVH,CKFIA,XOKWZ,XSGTN,ZTNRC,AYJOC,VZACB,JKFZK,GAECY,SSBFD,SSDVX,JXOST,TLDNK,ZHFKS,KONFH,JFSII,RQLMV,PPTEN,SGFPE,RNGPI,TLHVJ,NCHCM,VZAZK,NXDID,HYQJO,KLTNX,CBNRO,OKUFU,NPBIC,PSANX,DATHU,PHWBH,AGYFL,YNACB,GHZJD,VNCWM,GKWJO,HJVAR,IOXNZ,MITBP,,HPFTU,TEFXD,049,HPBGS,IVPNG,ZGSZB,OJHGR,KMQPN
Christopher,72064,86573,"April 17th, 2019",1,2,29731352,50,1,11,9,20,62879,15482,67531,"May 13th, 2019","May 29th, 2017",21093,77030,18794,47795,00258,3,30171,YYHFE,GDVOZ,YQQAC,OSAUT,FBKWF,HSDZC,POETD,NUGIB,DRRYI,IDBOD,IEDSL,ZMPAS,UFURN,BORGQ,GGQPO,3,RTCVM,EWAYG,YUOFI,DYGUN,JCBQF,KXVNI,VTCBK,ERFZM,AXKTV,QRFJV,MIOVJ,JRAFM,TJNNF,DUWGT,PZIYL,PMIBX,VNVQH,HNCRA,YTVQO,KDSJR,BAMZF,NZEFP,GRGFM,ZSUPF,GENBT,MTFDB,PUOLY,JGCNU,VSART,SRUIH,UXNQT,DEGEA,RIFAY,OKCLN,OHHGN,TBULI,GZYLH,RZHSJ,CFEXQ,HXKFM,GXIVP,HZMHI,LERUL,YRWWY,OQEID,test,PIHSP,VXMLD,806,DLCWE,HWIQU,NAGDH,LRCHP,SDCRV
Lane,57855,68210,"February 4th, 2017",1,4,25264763,23,7,17,12,25,32913,32889,21682,"November 24th, 2015","June 22nd, 2017",95447,25256,43580,49086,18586,7,09059,ESXKB,QUFEQ,GZCQN,SUSNL,WHAGM,QMQBC,XVAPD,BBWFD,ONYOU,GIOXG,KHASK,ABVTH,SWAAT,ABTTG,QWWTJ,4,JVVKM,KVRGN,REUTG,YGJWB,YSVNQ,VAUEI,JYJDS,QBFBR,APADI,WTRWI,JQTKZ,VUSTQ,REQDW,RKESM,OXWIY,BMLQL,ZBSND,WTVUZ,WLITI,XVQOR,YPEVB,XLBYS,LTELY,XRDNN,DNPVO,LJVSM,LYQVU,XIBVQ,KQOYO,SYIUZ,XTCYL,IDBUQ,GAKYN,RZUKC,HYXYI,CVDKF,ZXBZI,ICJPI,TWZVY,PXSKH,UEZJG,BVMPA,BYSIZ,JTNDS,PWTSX,orange,NEKFL,CRJAL,331,UQNGB,ZWZAB,OWPFN,OYIOU,QJPLC
Signe,75941,85814,"December 10th, 2017",0,1,85336292,39,6,17,29,26,08587,33963,91957,"March 6th, 2019","May 28th, 2017",35903,23393,19591,57515,56807,4,54323,LOELG,JPDVX,OBPKV,DVHIJ,YDVTH,UNRDR,MRQQO,QDUNG,QKULU,GRGZK,UDEKS,TNNKH,LTABF,VSBHH,RYQEU,1,IDIBX,NBUFE,ZBEYZ,KTNNH,LUZEW,TSJOB,AZHMB,EGZWA,IJSBK,QDVWM,YXECT,QNSJE,PFYNP,OQIOC,JWZHZ,GSJMB,JAQGL,KSKPF,TPBWU,XGBVF,ORIGB,ENWQN,GBYWQ,EUXGW,DFTZJ,JEOFX,IXHLS,JHSGC,LAVNX,IFPUS,BGFWU,TIJWB,XMDJI,AFDOJ,HYIEP,NLZCB,SATPJ,XDNWV,DUAPW,BVXMT,MNOQX,MRUNI,GEFCG,GZRZC,WVDYM,violet,JKOCP,MVWMN,695,BCWGA,MDRZC,XRONX,UJWWC,YQIGP
Keegan,85186,47451,"September 14th, 2015",1,4,23158117,29,6,20,27,3,02217,29900,68562,"May 22nd, 2015","October 4th, 2016",62727,63063,67404,06690,87112,4,52550,OKJZN,IJECF,TPBXQ,ZYPEI,NNDMS,DXCFQ,ZHUID,IBWWI,RLUJG,UEYTV,WTNDY,PPVFM,LXXSR,IVYRR,BRPTJ,6,SAPYH,DUBPP,GRKPL,NKMEU,IDGHX,EEEHZ,OXUDY,HNFAL,RXZDH,XNOHM,KJROH,PRJFR,THGOV,KSUQK,CPCFM,CLRWX,GUNBE,SAHHF,IWDFC,CMWMM,FXYQW,JNMAB,YFQAC,ITZUM,UMFIG,PYNXL,SFGPQ,UJIWT,JPBMI,VUIQF,NKCBE,ZUEOA,GGGXA,FGHNK,VBNIP,YNUPP,HICVN,LLSSX,OUBYS,XWICM,NEQLI,SVVBJ,RGULN,WSFVL,QFKUM,,FGSLE,AJBLP,295,YLJAW,ODFHT,JCJUI,FCSER,RZRFW
Dennis,99163,86366,"May 25th, 2016",0,5,56949528,27,7,15,2,21,05934,09982,81346,"March 14th, 2015","October 7th, 2019",47580,41174,83340,08783,02174,8,95142,RLWIU,KZPFB,XJCSM,LUTWY,ASDGW,BVAKL,BPTFM,XRNRU,PFBGN,MHTQH,EALTO,BDLQT,LECAQ,NGFDU,NLCHN,1,SSMKE,YPDXE,VNQRP,TSQAO,HLGWB,GHXAZ,WMDOJ,ABZRQ,TWNGG,DSDWK,BCBPD,TBUWW,IHJFU,QHVOV,RNPBM,CJPSS,HEYUW,YSWBK,HNRAA,PJODZ,FWUEF,TOZYL,AMKFJ,RKZPV,VETSU,DKMPE,ECURH,ZRZSJ,HHIWI,PQXFP,JAHSV,DBMFG,GDAJX,HJMAH,GLRAF,TGOGP,OBMWR,GQPOK,AHIRJ,AQMZW,SOMPB,KAKAC,YRYUA,KXNSK,SQOFT,violet,FGZHQ,LGIEA,649,TJSDK,WDGZW,AEPCG,FEKLJ,HPDHL
Gray,20480,04771,"November 4th, 2019",1,2,46676120,40,0,20,25,5,29876,72618,66333,"July 19th, 2017","November 28th, 2018",51914,87036,22027,84123,36371,7,70238,XRFLC,VMSBD,JMSZT,ZATQA,ZQXUW,DFUPI,ZHZJT,DKDSB,PBZBC,OJZTZ,KFFUF,QPGNF,UNXZU,WQTFI,ZNCHZ,3,DJJMP,TXSEQ,XWWRC,RKFDT,WRHDX,OUJUE,QOYFA,VXRCB,ZIZYX,NLHOP,BELKQ,GETMN,IIZXY,YRCEN,DFFIA,WJMEG,FPAXA,ELAAC,PGJDW,YTHUD,CIAUR,GLEBO,BTXZU,UBXRI,PTMPT,GBSNN,BBLCU,CTYRE,KJFBJ,AMDEB,INWFH,UNYPE,MUYLM,WWHTV,QFMYM,YLIRX,LYVQY,BNJOP,AFALI,IMYCM,AGAND,ROKDM,XFDMP,BJHDB,CWQUP,,HUZZV,DCFBS,204,KIXJL,FWQXG,QUMPL,IEBMD,AKXXM
Forrest,46771,25781,"February 16th, 2017",0,3,01978369,20,3,12,11,35,45210,54094,00582,"April 21st, 2016","June 6th, 2016",96088,31060,37970,80164,26522,4,63214,GKNCH,THKBT,GHEUV,OHVRA,KZVMI,BLKMZ,TIVHR,UFCTM,XGADT,IUFNK,AZMKK,YHFRA,KCABB,GSCJV,ZBYRG,4,RUHNN,KIAJN,URIVS,ZJCON,MMQAX,JEFCT,FKJRN,XMTNJ,GQVIM,OQBCZ,VIRGV,YSUIH,CPZWP,ZVJEX,ZWLJS,ALFQC,WFFZY,TGHGE,WAAZZ,PIEHF,IWEQZ,PUFBL,EUJCD,PMEEY,TUOOY,WVMNV,JSHER,QZXUL,IOZGQ,VPECR,TIXVS,GSMZL,QPQVW,VEQOM,RBDWC,OETWY,XBSVQ,QGJFQ,OBOBN,IATQO,XFQIH,ADTCX,ZMUVO,YFHDY,CGERF,test,EEEWR,ZLOAO,296,MLYLH,NUHHM,VDFXN,EHDVN,RBDBM
Dillon,34907,38091,"February 16th, 2018",1,4,64201064,21,2,12,48,46,50854,02438,36938,"December 9th, 2017","January 2nd, 2016",66237,60602,05826,59822,73666,2,63092,LSALC,GAMTD,KOUUF,GHVHA,XKOPQ,WMUXB,YJJPN,AOKIA,GAUQY,UOCSS,XYJGK,MVKGG,AMTKQ,AXXPY,PAKNG,6,TGZUA,QUQJN,WRJPU,AXNNM,ZMQQG,QLIVF,MBTJC,GIZKM,KSTDQ,JDLSL,RUZNC,XEKCX,SDKJN,VAJMA,DRNYI,LYZWR,DSSKX,JSOMD,EYEGV,BKXQH,OLWIS,SJJNJ,HURGI,XGTTJ,CYUPB,HXTLF,GEVOL,SACAE,BESDC,NWIYI,XIARU,INOHQ,QNULR,YAYVE,BOEHX,DIAML,LJNIO,PUAQA,BSONB,WJLDL,GLCPL,UUFHH,JYKSY,AQDEB,FFCXK,,XGLNR,YJWPA,398,YJPWM,MQZQF,VLPAK,VBLWI,WUBUN
Jordan,46375,44564,"December 14th, 2015",0,9,13385134,14,4,17,32,7,57164,25941,34257,"September 11th, 2015","September 10th, 2015",97714,16791,22258,24239,90395,6,34286,UFWEN,VDMTQ,DQKFO,JPZPH,VYPOO,QMTLO,SFBUM,PAHFF,QSSID,NLWJW,KAOCJ,TLKWW,WNUZN,ARIBK,BPWTA,5,AUDDQ,HLLXG,TROBI,ETGPU,LCRUD,LELBH,CQCKY,EHKHQ,BHTWI,CITVB,ENWKI,FLXMP,WUDJO,GBVSD,RGBOU,CTYUM,YWVLE,CAMLP,EWQDD,FSEJW,WSLLY,SUKCB,HOXKO,WYFTV,RIGEC,NURQZ,QFQGT,PAXBV,BHWGJ,NMEOU,UWPZL,FMOUJ,GISHT,MSDGU,WJEGX,VNFES,JCLBI,DCETF,MFPJN,AWLCR,JOYDQ,MZQPB,HGAWN,EQDLL,GPPTR,,WLPGF,VKGZR,361,VWQDW,HGNKH,RSRSY,XHFVJ,BGHWY
Ella,46378,15944,"April 15th, 2016",1,9,07676602,4,8,12,37,15,14421,81686,05338,"December 25th, 2019","August 30th, 2016",62456,47452,85996,14549,24915,1,59158,BAZDB,SEZRS,JQHOQ,OIFMB,LRJFQ,BTFQV,NSJMS,AVLHL,TWELF,CAWGC,LBKPM,ARQNL,MKUKJ,CXPVG,UUTWS,7,TYFFI,XLSOM,AOERC,HYDJJ,JJHLX,XMOVL,LBUPN,CLHPW,ANTSE,FCLIQ,LJFFY,WHNLW,IRNCR,ERHGL,BGLSV,USBOQ,FOKAZ,WFSEJ,NFZKZ,BFQZW,TQYYU,FJAOI,KPCRQ,DOBNZ,PSTQF,WCQIU,JQQHT,ZIXGV,MNJDV,GKYNU,ZOZJN,GQGPD,DXBZZ,WZZXJ,WPRHN,XWXLS,RDWPA,DLZRC,YLJBG,AGODZ,KTXMI,HWIHK,GMDIN,MLJWL,XRZSZ,,IQRWV,TZPHT,383,HFAAU,ODOCY,YSOFT,RUZWA,JKKBH
Fredericka,26555,11098,"September 18th, 2018",1,0,74982437,20,1,17,20,3,45499,44715,80977,"April 29th, 2015","July 14th, 2018",67648,12669,71182,06861,09650,7,42385,LILJB,DCNIT,ZOUQG,LEGDK,HDTEY,LGRHF,FCIGG,ZBWVH,ZSAQC,SSEOX,JQVKC,ASMHL,SGHBC,SUQAZ,WKUAS,3,RQTKI,FXHRE,QQPGB,RVYEK,CQLZY,ATNUS,IAQHF,JVTBU,YCIEI,WIAZK,JSABP,USIUA,LWNIE,KTSGZ,YTTWO,ABJCI,ERMRT,JMASE,JSAQE,FKFSS,QBDFL,XMRXC,JPHQJ,ZXZVI,SVAAI,LDIAW,UUWQS,ONPOH,CHRCM,TFIJY,AOMBG,FTPEC,EOAFU,SEMSI,TNSDI,SGBXX,XRYYY,RCHED,BIQXG,GRTVM,SWKLF,WCCII,VIJJZ,ONRUP,QREUY,test,KKHWA,OMJLR,744,UJLAZ,QLBWW,TPMGS,FQJSO,OQCZN
Unity,79202,88283,"January 15th, 2017",1,10,17701214,18,8,10,40,22,63176,47705,54766,"March 4th, 2016","April 6th, 2019",69663,47421,32474,92345,88333,0,29459,MVPIO,WZJMV,DYNZF,GEYRN,ZPNQK,KTTVC,MWXAP,IHBIF,ZABMG,NGJYK,SNFMK,JAJAV,ZWLPB,KIFGB,VTZYH,8,MXLRF,PEITZ,DIWEG,XCYYB,GIRMB,BCCWI,QKQPZ,AAEMQ,AHRLO,ZPWLX,RVGRK,CXZDT,KUVKX,LLGMU,TSWIX,UWTOT,UXTCC,ZEONR,EXMCV,BSPVL,OXSDV,HMJOH,KSGMO,JXWKR,THDYS,FFJHT,BVDTL,UYCRU,TXUJR,QJKNT,LIXXA,JVPIY,ZJPBS,NKHDI,XWJFO,JJXVQ,VSQMC,KMEOP,BADKI,OAECJ,VRHVQ,CEHTD,LASNA,OAMUP,MDSDA,,KFIZA,LZLQP,142,XIUCD,MDAVA,EFNAO,GRNXP,XSWLE
